mat_code pasadas
146938 6
2144839 6
2157654 6
146985 6
2107067 6
146999 5
2144793 5
2107068 5
2157652 5
149493 4
2157638 4
2157643 4
2144805 4
2107069 4
2158150 4
145096 4
2158139 4
146998 4
2144817 4
2132232 4
2132622 4
146984 4
2119437 4
2119487 4
148298 4
146930 4
146927 4
142282 4
2144794 4
137064 4
2132595 4
2144821 3
138514 3
139602 3
2110509 3
2108187 3
137579 3
2144803 2
2141250 2
146959 2
143441 2
2119700 2
138843 2
2132230 2
2144811 2
2144799 2
2144796 2
2144815 2
2144800 2
2144833 2
146977 2
2144802 2
146997 2
146995 2
2157629 2
2119838 2
2119433 2
2132207 2
2158166 2
149406 2
2121886 2
2145149 2
137591 2
2132233 2
2144801 2
2107080 2
2119490 2
2119485 2
2132235 2
2132234 2
2132223 2
146944 2
148709 2
138932 2
2132589 2
2144804 2
2119865 2
2107075 2
2107035 2
2107036 2
143525 2
2132153 2
2107081 2
2101723 1
2100312 1
2119496 1
148823 1
2107074 1
137008 1
2119447 1
2107078 1
2144814 1
2123368 1
2120966 1
2132228 1
2123369 1
