"con_code","con_start","con_end","mat_code","total_runs","total_reps","con_freq","network_name"
"151020","2010-12-01","2012-11-30","44818","5","1","24","TBS NETWORK"
"151020","2015-03-01","2017-02-28","139496","4","1","24","TBS NETWORK"
"151020","2015-03-01","2017-02-28","139497","4","1","24","TBS NETWORK"
"44733","2008-10-01","2012-03-31","132083","13","1","24","TBS NETWORK"
"44733","2009-06-05","2012-06-04","130558","15","1","24","TBS NETWORK"
"44733","2009-04-01","2013-04-30","130567","3","1","24","TBS NETWORK"
"44733","2009-04-16","2012-04-15","130586","2","1","24","TBS NETWORK"
"922885","2009-07-01","2012-03-31","130797","2","1","24","TBS NETWORK"
"922885","2010-02-01","2012-10-31","130801","13","1","24","TBS NETWORK"
"922885","2010-07-01","2013-03-31","130804","2","1","24","TBS NETWORK"
"922644","2009-10-01","2012-09-30","131599","14","1","24","TBS NETWORK"
"922644","2010-03-01","2013-02-28","131518","12","1","24","TBS NETWORK"
"922644","2009-11-01","2012-10-31","131525","8","1","24","TBS NETWORK"
"922604","2010-03-01","2013-02-28","131740","2","1","24","TBS NETWORK"
"922644","2009-09-01","2012-08-31","131542","6","1","24","TBS NETWORK"
"922644","2009-06-01","2012-05-31","131544","12","1","24","TBS NETWORK"
"922644","2009-12-01","2012-12-31","131606","8","1","24","TBS NETWORK"
"922644","2009-07-01","2012-06-30","131564","14","1","24","TBS NETWORK"
"922644","2009-08-01","2012-07-31","131526","16","1","24","TBS NETWORK"
"922644","2009-12-01","2012-11-30","131537","16","1","24","TBS NETWORK"
"923606","2009-01-01","2011-12-31","132201","2","998","24","TBS NETWORK"
"923606","2009-01-01","2011-12-31","132201","2","998","24","TBS NETWORK"
"923606","2009-01-01","2011-12-31","132201","2","998","24","TBS NETWORK"
"923606","2009-01-01","2011-12-31","132201","2","998","24","TBS NETWORK"
"923606","2009-01-01","2011-12-31","132201","2","998","24","TBS NETWORK"
"923606","2009-01-01","2011-12-31","132201","2","998","24","TBS NETWORK"
"923606","2009-01-01","2011-12-31","132201","2","998","24","TBS NETWORK"
"923606","2009-01-01","2011-12-31","132201","2","998","24","TBS NETWORK"
"923606","2009-01-01","2011-12-31","132201","2","998","24","TBS NETWORK"
"923606","2009-01-01","2011-12-31","132201","2","998","24","TBS NETWORK"
"923606","2009-01-01","2011-12-31","132201","2","998","24","TBS NETWORK"
"923606","2009-01-01","2011-12-31","132201","2","998","24","TBS NETWORK"
"923606","2009-01-01","2011-12-31","132201","2","998","24","TBS NETWORK"
"923606","2009-01-01","2011-12-31","132201","2","998","24","TBS NETWORK"
"923606","2009-01-01","2011-12-31","132201","2","998","24","TBS NETWORK"
"923606","2009-01-01","2011-12-31","132201","2","998","24","TBS NETWORK"
"923606","2009-01-01","2011-12-31","132201","2","998","24","TBS NETWORK"
"923606","2009-01-01","2011-12-31","132201","2","998","24","TBS NETWORK"
"923606","2009-01-01","2011-12-31","132201","2","998","24","TBS NETWORK"
"923606","2009-01-01","2011-12-31","132201","2","998","24","TBS NETWORK"
"923606","2009-01-01","2011-12-31","132201","2","998","24","TBS NETWORK"
"923606","2009-01-01","2011-12-31","132201","2","998","24","TBS NETWORK"
"923606","2009-01-01","2011-12-31","132201","2","998","24","TBS NETWORK"
"923606","2009-01-01","2011-12-31","132201","2","998","24","TBS NETWORK"
"925584","2009-12-05","2011-12-04","140423","5","1","24","TBS NETWORK"
"925584","2010-12-01","2012-11-30","136966","6","1","24","TBS NETWORK"
"925584","2008-12-31","2013-09-30","137496","4","1","24","TBS NETWORK"
"925584","2009-04-03","2012-03-31","136273","6","1","24","TBS NETWORK"
"925584","2010-12-14","2015-01-13","136766","2","1","24","TBS NETWORK"
"925584","2009-04-01","2012-03-31","137232","6","1","24","TBS NETWORK"
"924744","2009-12-01","2012-05-31","140111","2","1","24","TBS NETWORK"
"922644","2011-03-01","2014-02-28","142382","10","1","24","TBS NETWORK"
"927224","2009-10-01","2012-09-30","141027","2","998","24","TBS NETWORK"
"927224","2009-09-01","2012-08-31","141030","5","998","24","TBS NETWORK"
"151020","2011-01-01","2012-12-31","38863","3","1","24","TBS NETWORK"
"151020","2011-02-15","2014-02-14","138735","4","1","24","TBS NETWORK"
"151020","2011-08-01","2014-07-31","137711","2","1","24","TBS NETWORK"
"929592","2011-06-02","2015-09-01","143444","1","1","24","TBS NETWORK"
"927620","2010-09-01","2012-08-31","121648","9","998","24","TBS NETWORK"
"927620","2010-09-01","2012-08-31","141590","9","998","24","TBS NETWORK"
"927620","2011-06-01","2013-05-31","141607","7","998","24","TBS NETWORK"
"927620","2011-07-01","2013-06-30","131610","9","998","24","TBS NETWORK"
"927620","2011-01-01","2012-12-31","121650","6","998","24","TBS NETWORK"
"927620","2010-04-01","2012-03-31","141610","4","998","24","TBS NETWORK"
"927620","2010-06-01","2012-05-31","141625","14","998","24","TBS NETWORK"
"927620","2010-08-01","2012-07-31","126075","15","998","24","TBS NETWORK"
"927620","2010-11-01","2012-10-31","141632","6","998","24","TBS NETWORK"
"935372","2013-03-01","2016-02-29","134808","10","1","24","TBS NETWORK"
"927681","2010-02-01","2012-01-31","137314","2","1","24","TBS NETWORK"
"927681","2010-03-01","2012-02-29","137471","3","1","24","TBS NETWORK"
"935434","2013-02-01","2016-01-31","146702","999","998","24","TBS NETWORK"
"935434","2013-02-01","2016-01-31","146702","999","998","24","TBS NETWORK"
"935434","2013-02-01","2016-01-31","146702","999","998","24","TBS NETWORK"
"935434","2013-02-01","2016-01-31","146702","999","998","24","TBS NETWORK"
"935434","2013-02-01","2016-01-31","146702","999","998","24","TBS NETWORK"
"935434","2013-02-01","2016-01-31","146702","999","998","24","TBS NETWORK"
"935434","2013-02-01","2016-01-31","146702","999","998","24","TBS NETWORK"
"935434","2013-02-01","2016-01-31","146702","999","998","24","TBS NETWORK"
"935434","2013-02-01","2016-01-31","146702","999","998","24","TBS NETWORK"
"935434","2013-02-01","2016-01-31","146702","999","998","24","TBS NETWORK"
"935434","2013-02-01","2016-01-31","146702","999","998","24","TBS NETWORK"
"935434","2013-02-01","2016-01-31","146702","999","998","24","TBS NETWORK"
"935434","2013-02-01","2016-01-31","146702","999","998","24","TBS NETWORK"
"935434","2013-02-01","2016-01-31","146702","999","998","24","TBS NETWORK"
"935434","2013-02-01","2016-01-31","146702","999","998","24","TBS NETWORK"
"935434","2013-02-01","2016-01-31","146702","999","998","24","TBS NETWORK"
"935434","2013-02-01","2016-01-31","146702","999","998","24","TBS NETWORK"
"935434","2013-02-01","2016-01-31","146702","999","998","24","TBS NETWORK"
"935434","2013-02-01","2016-01-31","146702","999","998","24","TBS NETWORK"
"935434","2013-02-01","2016-01-31","146702","999","998","24","TBS NETWORK"
"927701","2010-08-01","2013-07-31","141868","10","1","24","TBS NETWORK"
"927701","2010-01-01","2013-03-31","134570","1","1","24","TBS NETWORK"
"927701","2010-12-01","2012-11-30","137922","8","1","24","TBS NETWORK"
"927701","2011-05-01","2013-10-31","137345","5","1","24","TBS NETWORK"
"927701","2010-01-01","2013-03-31","121112","6","1","24","TBS NETWORK"
"927701","2011-04-01","2013-09-30","122391","9","1","24","TBS NETWORK"
"927701","2010-09-01","2012-08-31","139553","4","1","24","TBS NETWORK"
"927701","2010-07-01","2012-12-31","139204","2","1","24","TBS NETWORK"
"927701","2010-02-01","2012-01-31","136053","3","1","24","TBS NETWORK"
"927701","2010-05-01","2012-02-29","130705","4","1","24","TBS NETWORK"
"927701","2010-12-01","2012-11-30","136672","6","1","24","TBS NETWORK"
"927701","2010-06-05","2013-06-04","141850","4","1","24","TBS NETWORK"
"927701","2010-02-15","2013-02-14","141847","2","1","24","TBS NETWORK"
"927701","2010-08-01","2012-07-31","141856","6","1","24","TBS NETWORK"
"927701","2010-06-13","2013-06-12","141863","5","1","24","TBS NETWORK"
"927701","2010-11-01","2012-10-31","130641","4","1","24","TBS NETWORK"
"927701","2010-06-01","2013-08-31","138063","5","1","24","TBS NETWORK"
"927701","2010-11-01","2012-10-31","137318","2","1","24","TBS NETWORK"
"927701","2010-08-13","2012-08-12","139449","6","1","24","TBS NETWORK"
"927701","2010-01-01","2013-03-31","138068","10","1","24","TBS NETWORK"
"927701","2010-09-09","2012-09-08","139598","5","1","24","TBS NETWORK"
"927701","2010-02-01","2013-01-31","141865","8","1","24","TBS NETWORK"
"927704","2010-05-01","2013-04-30","137527","4","1","24","TBS NETWORK"
"927704","2009-09-01","2013-09-22","132851","4","1","24","TBS NETWORK"
"927704","2010-10-01","2012-09-30","127664","4","1","24","TBS NETWORK"
"927704","2009-10-01","2013-04-30","133788","2","1","24","TBS NETWORK"
"928106","2010-01-01","2012-06-30","120290","6","2","24","TBS NETWORK"
"928106","2010-01-01","2012-06-30","120290","6","2","24","TBS NETWORK"
"928106","2010-01-01","2012-06-30","120290","6","2","24","TBS NETWORK"
"928106","2010-01-01","2012-06-30","120290","6","2","24","TBS NETWORK"
"928106","2010-01-01","2012-06-30","120290","6","2","24","TBS NETWORK"
"928106","2010-01-01","2012-06-30","120291","6","2","24","TBS NETWORK"
"928106","2010-01-01","2012-06-30","120291","6","2","24","TBS NETWORK"
"928106","2010-01-01","2012-06-30","120291","6","2","24","TBS NETWORK"
"928106","2010-01-01","2012-06-30","120291","6","2","24","TBS NETWORK"
"928106","2010-01-01","2012-06-30","120291","6","2","24","TBS NETWORK"
"928107","2010-02-01","2015-01-31","141734","985","998","24","TBS NETWORK"
"928107","2010-02-01","2015-01-31","141734","989","998","24","TBS NETWORK"
"928107","2010-02-01","2015-01-31","141734","989","998","24","TBS NETWORK"
"928107","2010-02-01","2015-01-31","141734","992","998","24","TBS NETWORK"
"928107","2010-02-01","2015-01-31","141734","989","998","24","TBS NETWORK"
"928107","2010-02-01","2015-01-31","141734","989","998","24","TBS NETWORK"
"928107","2010-02-01","2015-01-31","141734","992","998","24","TBS NETWORK"
"928107","2010-02-01","2015-01-31","141734","992","998","24","TBS NETWORK"
"928107","2010-02-01","2015-01-31","141734","992","998","24","TBS NETWORK"
"928107","2010-02-01","2015-01-31","141734","992","998","24","TBS NETWORK"
"928107","2010-02-01","2015-01-31","141734","992","998","24","TBS NETWORK"
"928107","2010-02-01","2015-01-31","141734","992","998","24","TBS NETWORK"
"928107","2010-02-01","2015-01-31","141734","992","998","24","TBS NETWORK"
"928107","2010-02-01","2015-01-31","141734","992","998","24","TBS NETWORK"
"928107","2010-02-01","2015-01-31","141734","992","998","24","TBS NETWORK"
"928107","2010-02-01","2015-01-31","141734","993","998","24","TBS NETWORK"
"928107","2010-02-01","2015-01-31","141734","993","998","24","TBS NETWORK"
"928107","2010-02-01","2015-01-31","141734","993","998","24","TBS NETWORK"
"928107","2010-02-01","2015-01-31","141734","994","998","24","TBS NETWORK"
"928107","2010-02-01","2015-01-31","141734","994","998","24","TBS NETWORK"
"928107","2010-02-01","2015-01-31","141734","994","998","24","TBS NETWORK"
"928107","2010-02-01","2015-01-31","141734","994","998","24","TBS NETWORK"
"928107","2010-02-01","2015-01-31","141734","994","998","24","TBS NETWORK"
"928107","2010-02-01","2015-01-31","141734","994","998","24","TBS NETWORK"
"928107","2010-02-01","2015-01-31","141734","994","998","24","TBS NETWORK"
"928107","2010-02-01","2015-01-31","141734","995","998","24","TBS NETWORK"
"928107","2010-02-01","2015-01-31","141734","990","998","24","TBS NETWORK"
"928107","2010-02-01","2015-01-31","141734","989","998","24","TBS NETWORK"
"928107","2010-02-01","2015-01-31","141734","988","998","24","TBS NETWORK"
"928107","2010-02-01","2015-01-31","141734","990","998","24","TBS NETWORK"
"928107","2010-02-01","2015-01-31","141734","990","998","24","TBS NETWORK"
"928107","2010-02-01","2015-01-31","141734","990","998","24","TBS NETWORK"
"928107","2010-02-01","2015-01-31","141734","990","998","24","TBS NETWORK"
"928107","2010-02-01","2015-01-31","141734","990","998","24","TBS NETWORK"
"928107","2010-02-01","2015-01-31","141734","990","998","24","TBS NETWORK"
"928107","2010-02-01","2015-01-31","141734","990","998","24","TBS NETWORK"
"928107","2010-02-01","2015-01-31","141734","993","998","24","TBS NETWORK"
"928107","2010-02-01","2015-01-31","141734","992","998","24","TBS NETWORK"
"928106","2010-01-01","2012-06-30","120290","6","2","24","TBS NETWORK"
"928106","2010-01-01","2012-06-30","120291","6","2","24","TBS NETWORK"
"927862","2010-02-01","2013-05-31","134989","8","1","24","TBS NETWORK"
"928306","2010-01-01","2012-12-31","142280","6","1","24","TBS NETWORK"
"928306","2010-10-01","2012-09-30","142282","2","1","24","TBS NETWORK"
"928306","2010-04-01","2012-03-31","142283","4","1","24","TBS NETWORK"
"928306","2010-04-01","2012-03-31","142284","4","1","24","TBS NETWORK"
"928306","2010-03-01","2012-02-28","142254","1","1","24","TBS NETWORK"
"928306","2010-09-01","2012-08-31","142293","8","1","24","TBS NETWORK"
"928306","2010-06-02","2012-06-01","119747","6","1","24","TBS NETWORK"
"928306","2010-07-01","2012-06-30","142292","6","1","24","TBS NETWORK"
"928306","2010-07-01","2011-12-31","142307","5","1","24","TBS NETWORK"
"928306","2010-07-01","2012-06-30","137786","2","1","24","TBS NETWORK"
"922604","2009-09-01","2012-08-31","137134","7","1","24","TBS NETWORK"
"44733","2009-09-01","2013-06-30","130561","10","1","24","TBS NETWORK"
