"mat_code","anio_prod","anio_cat","clasif","mat_duration","mat_type","genres","mat_name","release_date","imdb_rating","imdb_votes","boxoffice","mmr_clasificacion","country"
"138047","","TBC","04","10","EPISODE (ANIMATED)","ANIMACIÓN - COMEDIA","ROBOT CHICKEN","2020-10-11 00:00:00","7.8","33416.00","","SAM 13","TBS SUR"
"138047","2004","2000s","04","10","EPISODE (ANIMATED)","ANIMACIÓN - COMEDIA","ROBOT CHICKEN","2020-10-11 00:00:00","7.8","33416.00","","SAM 13","TBS SUR"
"138047","2005","2000s","04","11","EPISODE (ANIMATED)","ANIMACIÓN - COMEDIA","ROBOT CHICKEN","2014-12-01 00:00:00","7.8","33416.00","","SAM 13","TBS SUR"
"138047","2005","2000s","04","10","EPISODE (ANIMATED)","ANIMACIÓN - COMEDIA","ROBOT CHICKEN","2020-10-11 00:00:00","7.8","33416.00","","SAM 13","TBS SUR"
"138047","2006","2000s","04","11","EPISODE (ANIMATED)","ANIMACIÓN - COMEDIA","ROBOT CHICKEN","2017-10-11 00:00:00","7.8","33416.00","","SAM 13","TBS SUR"
"138047","2006","2000s","04","10","EPISODE (ANIMATED)","ANIMACIÓN - COMEDIA","ROBOT CHICKEN","2020-10-11 00:00:00","7.8","33416.00","","SAM 13","TBS SUR"
"138047","2007","2000s","04","10","EPISODE (ANIMATED)","ANIMACIÓN - COMEDIA","ROBOT CHICKEN","2020-10-11 00:00:00","7.8","33416.00","","SAM 13","TBS SUR"
"138992","2003","2000s","04","104","LARGOMETRAJE","AVENTURAS - FAMILIAR - DRAMA - ROMANCE - COMEDIA","WHAT A GIRL WANTS","2013-03-01 00:00:00","5.8","44206.00","","ATP","TBS SUR"
"140575","2005","2000s","04","21","SERIES","COMEDIA","OFFICE (US), THE - Season 1","2011-03-01 00:00:00","","","","ATP","TBS SUR"
"144075","2008","2000s","04","21","SERIES","COMEDIA","OFFICE (US), THE - Season 5","2011-03-01 00:00:00","","","","ATP","TBS SUR"
"144748","2006","2000s","04","20","SERIES","COMEDIA","MY NAME IS EARL - Season 2","2012-02-01 00:00:00","","","","ATP","TBS SUR"
"144748","2007","2000s","04","20","SERIES","COMEDIA","MY NAME IS EARL - Season 2","2012-02-01 00:00:00","","","","ATP","TBS SUR"
"144750","2008","2000s","04","20","SERIES","COMEDIA","MY NAME IS EARL - Season 4","2012-10-01 00:00:00","","","","ATP","TBS SUR"
"144750","2009","2000s","04","20","SERIES","COMEDIA","MY NAME IS EARL - Season 4","2012-10-01 00:00:00","","","","ATP","TBS SUR"
"145254","2005","2000s","04","19","SERIES","COMEDIA","EVERYBODY HATES CHRIS - Season 1","2015-10-01 00:00:00","","","","ATP","TBS SUR"
"145254","2006","2000s","04","19","SERIES","COMEDIA","EVERYBODY HATES CHRIS - Season 1","2015-10-01 00:00:00","","","","ATP","TBS SUR"
"145255","2006","2000s","04","20","SERIES","COMEDIA","EVERYBODY HATES CHRIS - Season 2","2015-10-01 00:00:00","","","","ATP","TBS SUR"
"145255","2007","2000s","04","20","SERIES","COMEDIA","EVERYBODY HATES CHRIS - Season 2","2015-10-01 00:00:00","","","","ATP","TBS SUR"
"145258","2001","2000s","04","20","SERIES","COMEDIA","BECKER - Season 4","2012-10-01 00:00:00","","","","ATP","TBS SUR"
"145258","2002","2000s","04","21","SERIES","COMEDIA","BECKER - Season 4","2012-10-01 00:00:00","","","","ATP","TBS SUR"
"145260","2003","2000s","04","21","SERIES","COMEDIA","BECKER - Season 6","2012-10-01 00:00:00","","","","ATP","TBS SUR"
"145260","2004","2000s","04","21","SERIES","COMEDIA","BECKER - Season 6","2012-10-01 00:00:00","","","","ATP","TBS SUR"
"145263","1991","1990s","04","22","SERIES","COMEDIA","WINGS - SEASON 3","2011-11-01 00:00:00","","","","ATP","TBS SUR"
"145263","1992","1990s","04","22","SERIES","COMEDIA","WINGS - SEASON 3","2011-11-01 00:00:00","","","","ATP","TBS SUR"
"145269","1996","1990s","04","22","SERIES","COMEDIA","EVERY LOVES RAYMOND - Season 1","2012-01-01 00:00:00","","","","ATP","TBS SUR"
"145269","1997","1990s","04","22","SERIES","COMEDIA","EVERY LOVES RAYMOND - Season 1","2012-01-01 00:00:00","","","","ATP","TBS SUR"
"145271","1998","1990s","04","22","SERIES","COMEDIA","EVERY LOVES RAYMOND - Season 3","2012-01-01 00:00:00","","","","ATP","TBS SUR"
"145271","1999","1990s","04","22","SERIES","COMEDIA","EVERY LOVES RAYMOND - Season 3","2012-01-01 00:00:00","","","","ATP","TBS SUR"
"145272","1999","1990s","04","22","SERIES","COMEDIA","EVERY LOVES RAYMOND - Season 4","2012-01-01 00:00:00","","","","ATP","TBS SUR"
"145272","2000","2000s","04","22","SERIES","COMEDIA","EVERY LOVES RAYMOND - Season 4","2012-01-01 00:00:00","","","","ATP","TBS SUR"
"145274","2001","2000s","04","22","SERIES","COMEDIA","EVERY LOVES RAYMOND - Season 6","2012-10-01 00:00:00","","","","ATP","TBS SUR"
"145274","2002","2000s","04","22","SERIES","COMEDIA","EVERY LOVES RAYMOND - Season 6","2012-10-01 00:00:00","","","","ATP","TBS SUR"
"145275","2002","2000s","04","22","SERIES","COMEDIA","EVERY LOVES RAYMOND - Season 7","2013-03-01 00:00:00","","","","ATP","TBS SUR"
"145275","2003","2000s","04","22","SERIES","COMEDIA","EVERY LOVES RAYMOND - Season 7","2013-03-01 00:00:00","","","","ATP","TBS SUR"
"145277","2004","2000s","04","22","SERIES","COMEDIA","EVERY LOVES RAYMOND - Season 9","2013-03-01 00:00:00","","","","ATP","TBS SUR"
"145277","2005","2000s","04","22","SERIES","COMEDIA","EVERY LOVES RAYMOND - Season 9","2013-03-01 00:00:00","","","","ATP","TBS SUR"
"145278","1998","1990s","04","21","SERIES","COMEDIA","KING OF QUEENS - Season 1","2012-01-01 00:00:00","","","","ATP","TBS SUR"
"145278","1999","1990s","04","22","SERIES","COMEDIA","KING OF QUEENS - Season 1","2012-01-01 00:00:00","","","","ATP","TBS SUR"
"145280","2000","2000s","04","21","SERIES","COMEDIA","KING OF QUEENS - Season 3","2012-01-01 00:00:00","","","","ATP","TBS SUR"
"145280","2001","2000s","04","21","SERIES","COMEDIA","KING OF QUEENS - Season 3","2012-01-01 00:00:00","","","","ATP","TBS SUR"
"145283","2003","2000s","04","21","SERIES","COMEDIA","KING OF QUEENS - Season 6","2012-10-01 00:00:00","","","","ATP","TBS SUR"
"145283","2004","2000s","04","21","SERIES","COMEDIA","KING OF QUEENS - Season 6","2012-10-01 00:00:00","","","","ATP","TBS SUR"
"145289","2000","2000s","04","21","SERIES","ROMANCE - COMEDIA","SEX AND THE CITY - SEASON 3","2014-12-01 00:00:00","","","","SAM 13","TBS SUR"
"145291","2002","2000s","04","21","SERIES","ROMANCE - COMEDIA","SEX AND THE CITY - SEASON 5","2015-02-01 00:00:00","","","","SAM 13","TBS SUR"
"145292","2003","2000s","04","21","SERIES","ROMANCE - COMEDIA","SEX AND THE CITY - SEASON 6","2015-02-01 00:00:00","","","","SAM 13","TBS SUR"
"145292","2004","2000s","04","21","SERIES","ROMANCE - COMEDIA","SEX AND THE CITY - SEASON 6","2015-02-01 00:00:00","","","","SAM 13","TBS SUR"
"145297","1999","1990s","04","21","SERIES","COMEDIA","BECKER - Season 2","2012-01-01 00:00:00","","","","ATP","TBS SUR"
"145297","2000","2000s","04","21","SERIES","COMEDIA","BECKER - Season 2","2012-01-01 00:00:00","","","","ATP","TBS SUR"
"145340","2011","2010s","04","18","SERIES","COMEDIA","HOT IN CLEVELAND - Season 2","2012-01-01 00:00:00","","","","ATP","TBS SUR"
"145341","2011","2010s","04","20","SERIES","COMEDIA","HOT IN CLEVELAND - Season 3","2012-07-01 00:00:00","","","","ATP","TBS SUR"
"145341","2012","2010s","04","20","SERIES","COMEDIA","HOT IN CLEVELAND - Season 3","2012-07-01 00:00:00","","","","ATP","TBS SUR"
"145341","2012","2010s","04","20","SERIES","COMEDIA","HOT IN CLEVELAND - Season 3","2012-11-01 00:00:00","","","","ATP","TBS SUR"
"145538","2011","2010s","04","20","SERIES","ENTRETENIMIENTO FACTUAL","IMPRACTICAL JOKERS - Season 1","2017-04-03 00:00:00","","","","ATP","TBS SUR"
"145538","2012","2010s","04","20","SERIES","ENTRETENIMIENTO FACTUAL","IMPRACTICAL JOKERS - Season 1","2017-04-03 00:00:00","","","","ATP","TBS SUR"
"145690","2011","2010s","04","0","SERIES","COMEDIA","PRANKER, THE - Season 1","2012-03-31 00:00:00","","","","ATP","TBS SUR"
"145813","2009","2000s","04","21","SERIES","COMEDIA","GLENN MARTIN DDS","2012-10-15 00:00:00","","","","ATP","TBS SUR"
"145813","2010","2010s","04","21","SERIES","COMEDIA","GLENN MARTIN DDS","2012-10-15 00:00:00","","","","ATP","TBS SUR"
"145813","2010","2010s","04","21","SERIES","COMEDIA","GLENN MARTIN DDS","2013-01-01 00:00:00","","","","ATP","TBS SUR"
"145813","2011","2010s","04","21","SERIES","COMEDIA","GLENN MARTIN DDS","2013-01-01 00:00:00","","","","ATP","TBS SUR"
"145835","2012","2010s","04","21","SERIES","COMEDIA","ANGER MANAGEMENT - Season 1","2015-11-19 00:00:00","","","","ATP","TBS SUR"
"145965","2008","2000s","04","41","DOCUMENTAL SERIADO","ENTRETENIMIENTO FACTUAL - COMEDIA","WORLD'S DUMBEST - Season 3","2017-01-01 00:00:00","","","","ATP","TBS SUR"
"145967","2009","2000s","04","42","DOCUMENTAL SERIADO","ENTRETENIMIENTO FACTUAL - COMEDIA","WORLD'S DUMBEST - Season 5","2017-01-01 00:00:00","","","","ATP","TBS SUR"
"145967","2009","2000s","04","41","DOCUMENTAL SERIADO","ENTRETENIMIENTO FACTUAL - COMEDIA","WORLD'S DUMBEST - Season 5","2020-01-01 00:00:00","","","","ATP","TBS SUR"
"145970","2010","2010s","04","41","DOCUMENTAL SERIADO","ENTRETENIMIENTO FACTUAL - COMEDIA","WORLD'S DUMBEST - Season 8","2020-01-01 00:00:00","","","","ATP","TBS SUR"
"146187","2004","2000s","04","109","LARGOMETRAJE","COMEDIA","LEMONY SNICKET'S A SERIES OF UNFORTUNATE EVENTS","2012-10-01 00:00:00","6.8","146050.00","118634549.00","ATP","TBS SUR"
"146214","2012","2010s","04","45","SERIES","ENTRETENIMIENTO - ROMANCE","CUPIDO RELOADED","2012-09-21 00:00:00","","","","ATP","TBS SUR"
"146214","2012","2010s","04","47","SERIES","ENTRETENIMIENTO - ROMANCE","CUPIDO RELOADED","2012-10-01 00:00:00","","","","ATP","TBS SUR"
"146591","2013","2010s","04","0","SERIES","COMEDIA","ANGER MANAGEMENT - Season 2","2016-01-30 00:00:00","","","","ATP","TBS SUR"
"146766","","TBC","","0","ESPECIAL/PROGRAM","GENRE_N/A","CUPIDO BACKSTAGE","2012-11-01 00:00:00","","","","ATP","TBS SUR"
"147333","2013","2010s","04","25","SERIES","COMEDIA","WEB THERAPY - Season 3","2013-09-01 00:00:00","","","","ATP","TBS SUR"
"147682","2011","2010s","04","21","SERIES","COMEDIA","OFFICE (US) , THE - Season 08","2014-03-01 00:00:00","","","","ATP","TBS SUR"
"147682","2012","2010s","04","22","SERIES","COMEDIA","OFFICE (US) , THE - Season 08","2014-03-01 00:00:00","","","","ATP","TBS SUR"
"147830","2014","2010s","04","20","SERIES","COMEDIA","THE MILLERS","2013-12-31 00:00:00","","","","ATP","TBS SUR"
"147830","2014","2010s","04","21","SERIES","COMEDIA","THE MILLERS","2014-02-01 00:00:00","","","","ATP","TBS SUR"
"147894","2012","2010s","04","21","SERIES","COMEDIA","MINDY PROJECT, THE - Season 1","2013-12-01 00:00:00","","","","ATP","TBS SUR"
"147894","2013","2010s","04","21","SERIES","COMEDIA","MINDY PROJECT, THE - Season 1","2013-12-01 00:00:00","","","","ATP","TBS SUR"
"148443","2014","2010s","04","40","SERIES","ENTRETENIMIENTO","AMERICAN FUNNIES'T HOME VIDEOS - Season 1","2014-05-09 00:00:00","","","","ATP","TBS SUR"
"148773","2014","2010s","04","0","SERIES","COMEDIA","THE MILLERS - Season 2","2014-12-31 00:00:00","","","","ATP","TBS SUR"
"2112661","2016","2010s","04","22","SERIES","COMEDIA","TV OR NOT TV","2016-08-01 00:00:00","","","","ATP","TBS SUR"
"2114662","2017","2010s","04","21","SERIES","COMEDIA","TV OR NOT TV - Season 2","2017-05-01 00:00:00","","","","ATP","TBS SUR"
"2118243","","TBC","","11","SERIES (ANIMATED)","AVENTURAS - ANIMACIÓN - ACCIÓN","BEN 10 REBOOT (2016)","2017-10-01 00:00:00","","","","ATP","TBS SUR"
"2118243","","TBC","","11","SERIES (ANIMATED)","AVENTURAS - ANIMACIÓN - ACCIÓN","BEN 10 REBOOT (2016)","2020-02-01 00:00:00","","","","ATP","TBS SUR"
"2118243","2016","2010s","04","11","SERIES (ANIMATED)","AVENTURAS - ANIMACIÓN - ACCIÓN","BEN 10 REBOOT (2016)","2017-03-11 00:00:00","","","","ATP","TBS SUR"
"2118243","2016","2010s","04","11","SERIES (ANIMATED)","AVENTURAS - ANIMACIÓN - ACCIÓN","BEN 10 REBOOT (2016)","2017-07-01 00:00:00","","","","ATP","TBS SUR"
"2118243","2016","2010s","04","11","SERIES (ANIMATED)","AVENTURAS - ANIMACIÓN - ACCIÓN","BEN 10 REBOOT (2016)","2017-10-01 00:00:00","","","","ATP","TBS SUR"
"2118243","2016","2010s","04","11","SERIES (ANIMATED)","AVENTURAS - ANIMACIÓN - ACCIÓN","BEN 10 REBOOT (2016)","2018-02-01 00:00:00","","","","ATP","TBS SUR"
"2118243","2016","2010s","04","11","SERIES (ANIMATED)","AVENTURAS - ANIMACIÓN - ACCIÓN","BEN 10 REBOOT (2016)","2018-06-08 00:00:00","","","","ATP","TBS SUR"
"2118243","2016","2010s","04","11","SERIES (ANIMATED)","AVENTURAS - ANIMACIÓN - ACCIÓN","BEN 10 REBOOT (2016)","2018-08-02 00:00:00","","","","ATP","TBS SUR"
"2118243","2016","2010s","04","11","SERIES (ANIMATED)","AVENTURAS - ANIMACIÓN - ACCIÓN","BEN 10 REBOOT (2016)","2018-09-01 00:00:00","","","","ATP","TBS SUR"
"2118243","2016","2010s","04","11","SERIES (ANIMATED)","AVENTURAS - ANIMACIÓN - ACCIÓN","BEN 10 REBOOT (2016)","2018-10-22 00:00:00","","","","ATP","TBS SUR"
"2118243","2017","2010s","04","11","SERIES (ANIMATED)","AVENTURAS - ANIMACIÓN - ACCIÓN","BEN 10 REBOOT (2016)","2018-10-22 00:00:00","","","","ATP","TBS SUR"
"2118243","2017","2010s","04","11","SERIES (ANIMATED)","AVENTURAS - ANIMACIÓN - ACCIÓN","BEN 10 REBOOT (2016)","2019-03-01 00:00:00","","","","ATP","TBS SUR"
"2118243","2017","2010s","04","11","SERIES (ANIMATED)","AVENTURAS - ANIMACIÓN - ACCIÓN","BEN 10 REBOOT (2016)","2019-04-01 00:00:00","","","","ATP","TBS SUR"
"2118243","2018","2010s","04","11","SERIES (ANIMATED)","AVENTURAS - ANIMACIÓN - ACCIÓN","BEN 10 REBOOT (2016)","2019-04-01 00:00:00","","","","ATP","TBS SUR"
"2118243","2018","2010s","04","11","SERIES (ANIMATED)","AVENTURAS - ANIMACIÓN - ACCIÓN","BEN 10 REBOOT (2016)","2019-04-22 00:00:00","","","","ATP","TBS SUR"
"2118243","2018","2010s","04","11","SERIES (ANIMATED)","AVENTURAS - ANIMACIÓN - ACCIÓN","BEN 10 REBOOT (2016)","2019-05-06 00:00:00","","","","ATP","TBS SUR"
"2118243","2018","2010s","04","11","SERIES (ANIMATED)","AVENTURAS - ANIMACIÓN - ACCIÓN","BEN 10 REBOOT (2016)","2019-06-03 00:00:00","","","","ATP","TBS SUR"
"2118243","2018","2010s","04","11","SERIES (ANIMATED)","AVENTURAS - ANIMACIÓN - ACCIÓN","BEN 10 REBOOT (2016)","2019-07-01 00:00:00","","","","ATP","TBS SUR"
"2118243","2018","2010s","04","11","SERIES (ANIMATED)","AVENTURAS - ANIMACIÓN - ACCIÓN","BEN 10 REBOOT (2016)","2019-08-01 00:00:00","","","","ATP","TBS SUR"
"2118243","2019","2010s","04","11","SERIES (ANIMATED)","AVENTURAS - ANIMACIÓN - ACCIÓN","BEN 10 REBOOT (2016)","2019-06-03 00:00:00","","","","ATP","TBS SUR"
"2118243","2019","2010s","04","11","SERIES (ANIMATED)","AVENTURAS - ANIMACIÓN - ACCIÓN","BEN 10 REBOOT (2016)","2019-09-30 00:00:00","","","","ATP","TBS SUR"
"2118243","2019","2010s","04","11","SERIES (ANIMATED)","AVENTURAS - ANIMACIÓN - ACCIÓN","BEN 10 REBOOT (2016)","2019-10-01 00:00:00","","","","ATP","TBS SUR"
"2118243","2019","2010s","04","11","SERIES (ANIMATED)","AVENTURAS - ANIMACIÓN - ACCIÓN","BEN 10 REBOOT (2016)","2020-02-01 00:00:00","","","","ATP","TBS SUR"
