"mat_code","mat_name","genres","mat_type","anio_prod"
"369","TOP GUN","ACCIÓN - ROMANCE","LARGOMETRAJE","1986"
"1104","RAIDERS OF THE LOST ARK","AVENTURAS","LARGOMETRAJE","1981"
"2845","INDIANA JONES AND THE TEMPLE OF DOOM","AVENTURAS","LARGOMETRAJE","1984"
"5323","GHOSTBUSTERS II","COMEDIA","LARGOMETRAJE","1989"
"5359","LOOK WHO'S TALKING","COMEDIA - FAMILIAR","LARGOMETRAJE","1989"
"6130","RISKY BUSINESS","COMEDIA","LARGOMETRAJE","1983"
"8621","POLICE ACADEMY 2: THEIR FIRST ASSIGNMENT","COMEDIA","LARGOMETRAJE","1985"
"136200","POINT OF NO RETURN","ACCIÓN - SUSPENSO","LARGOMETRAJE","1994"
"136300","NATIONAL LAMPOON'S CHRISTMAS VACATION","COMEDIA","LARGOMETRAJE","1989"
"140100","DUKES OF HAZZARD","ACCIÓN - COMEDIA","LARGOMETRAJE","2005"
"147700","ONE DAY","DRAMA - ROMANCE","LARGOMETRAJE","2011"
"148300","MONEYBALL (2011)","BIOGRAFÍA - DRAMA","LARGOMETRAJE","2011"
"148700","CURIOUS GEORGE-SWINGS INTO SPRING","ANIMACIÓN - FAMILIAR","LARGOMETRAJE","2013"
"149500","PERFECT GETAWAY, A","AVENTURAS - SUSPENSO","LARGOMETRAJE","2009"
"39223","MARY POPPINS","COMEDIA","LARGOMETRAJE","1964"
"41454","DUMB & DUMBER","AVENTURAS - COMEDIA","LARGOMETRAJE","1994"
"120341","PAPA ES UN IDOLO","COMEDIA","LARGOMETRAJE","2000"
"120343","ARGENTINO EN NUEVA YORK, UN","COMEDIA","LARGOMETRAJE","1998"
"120619","JERRY MAGUIRE","COMEDIA - ROMANCE","LARGOMETRAJE","1996"
"120638","STEPMOM","DRAMA","LARGOMETRAJE","1998"
"120663","AS GOOD AS IT GETS","COMEDIA - ROMANCE","LARGOMETRAJE","1997"
"121010","HOW TO LOSE A GUY IN 10 DAYS","COMEDIA - ROMANCE","LARGOMETRAJE","2003"
"121013","MISSION IMPOSSIBLE II","ACCIÓN","LARGOMETRAJE","2000"
"122195","ALMOST FAMOUS","AVENTURAS","LARGOMETRAJE","2000"
"122197","6TH DAY, THE","ACCIÓN","LARGOMETRAJE","2000"
"122242","MATILDA","COMEDIA - FAMILIAR - INFANTIL","LARGOMETRAJE","1996"
"122371","BACHELOR, THE","COMEDIA - ROMANCE","LARGOMETRAJE","1999"
"122383","LITTLE NICKY","COMEDIA","LARGOMETRAJE","2000"
"122393","SWEET NOVEMBER","DRAMA - ROMANCE","LARGOMETRAJE","2001"
"122397","BATMAN","ACCIÓN","LARGOMETRAJE","1989"
"122399","BEETLEJUICE","COMEDIA - FANTASÍA","LARGOMETRAJE","1988"
"122423","MARS ATTACKS!","ACCIÓN - COMEDIA","LARGOMETRAJE","1996"
"125132","EVOLUTION","CIENCIA FICCIÓN - COMEDIA","LARGOMETRAJE","2001"
"125159","ADAPTATION","COMEDIA - DRAMA","LARGOMETRAJE","2002"
"125165","MAID IN MANHATTAN","ROMANCE","LARGOMETRAJE","2002"
"125180","BIG FISH","DRAMA","LARGOMETRAJE","2003"
"125793","THE FAMILY","COMEDIA - SUSPENSO","LARGOMETRAJE","2013"
"127337","GIGLI","COMEDIA - ROMANCE - SUSPENSO","LARGOMETRAJE","2003"
"127621","BOWFINGER","COMEDIA","LARGOMETRAJE","1999"
"127665","UNDERCOVER BROTHER","ACCIÓN - COMEDIA","LARGOMETRAJE","2002"
"129713","SEALAB 2021","ANIMACIÓN - COMEDIA","SERIES","2000"
"130349","12 OZ.MOUSE","ANIMACIÓN","SERIES","2005 - 2006"
"130353","SPACE GHOST COAST TO COAST","ANIMACIÓN","SERIES","1994 - 1995 - 1996 - 1997 - 1998 - 1999 - 2001"
"130522","SOMETHING NEW","COMEDIA - DRAMA - ROMANCE","LARGOMETRAJE","2006"
"130527","AMERICAN DREAMZ","COMEDIA - MÚSICA","LARGOMETRAJE","2006"
"130535","INTOLERABLE CRUELTY","COMEDIA - POLICIAL - ROMANCE","LARGOMETRAJE","2003"
"130558","AMERICAN PIE PRESENTS: THE NAKED MILE","COMEDIA","LARGOMETRAJE","2006"
"130567","CASPER","COMEDIA - FAMILIAR","LARGOMETRAJE","1995"
"130641","AFTER THE SUNSET","ACCIÓN - COMEDIA - POLICIAL","LARGOMETRAJE","2004"
"130659","HIGHWAYMEN","ACCIÓN","LARGOMETRAJE","2003"
"130665","NEW YORK MINUTE","COMEDIA","LARGOMETRAJE","2004"
"130667","OCEAN'S TWELVE","COMEDIA - POLICIAL - SUSPENSO - TERROR","LARGOMETRAJE","2004"
"130668","POLAR EXPRESS","ANIMACIÓN - AVENTURAS - FAMILIAR - FANTASÍA","LARGOMETRAJE","2004"
"130710","ALFIE (2004)","COMEDIA","LARGOMETRAJE","2004"
"130722","COLLATERAL","DRAMA - POLICIAL - SUSPENSO","LARGOMETRAJE","2004"
"130798","BIKER BOYZ","ACCIÓN - DRAMA - POLICIAL","LARGOMETRAJE","2003"
"130801","HEAD OF STATE","COMEDIA","LARGOMETRAJE","2003"
"131880","TALLADEGA NIGHTS: THE BALLAD OF RICKY BOBBY","ACCIÓN - COMEDIA","LARGOMETRAJE","2006"
